Country Name,Country Code,IT.NET.USER.P2,SE.PRM.ENRR,SE.SEC.ENRR,SE.XPD.TOTL.GD.ZS,SL.UEM.TOTL.ZS,SP.POP.TOTL
Philippines,PHL,34.706013732222225,110.71307118733768,84.8877970377604,2.67249000072479,6.855555587344699,96940423.44444445
Poland,POL,63.26965513777778,99.42782810756145,100.26119995117185,4.933902876717703,8.622222317589657,38048103.777777776
Portugal,PRT,58.55911794,111.05543422698987,110.98674106597912,5.167434283665249,12.177777767181404,10479219.111111112
Puerto Rico,PRI,60.746955683333326,90.73438008626302,81.3301569620768,6.39076995849609,13.866666687859434,3616495.5555555555
Qatar,QAT,74.29621606666666,103.4408130645752,91.12993011474616,3.911770003182547,0.333333341611756,2055295.0
Romania,ROU,45.99462692444445,95.78738276163737,97.27881240844727,3.3441939830780023,6.7000000741746675,20085694.444444444
Russian Federation,RUS,55.54878724666666,99.739471435547,94.33398764474043,3.980390071868895,6.1777777671813965,143367280.8888889
Rwanda,RWA,10.313761586333333,139.54818534851074,34.16601753234865,4.3757471697671075,2.7555555966165324,10799438.888888888
Samoa,WSM,14.808093910666665,106.95786539713549,86.27911885579425,5.14420986175537,7.011111074023777,189260.77777777778
San Marino,SMR,52.77666666666667,93.1408977508545,95.59448051452637,2.346549987792965,,31858.333333333332
Sao Tome and Principe,STP,21.511511111111112,118.00788625081388,63.97490734524198,6.9902449846267665,14.255555682712135,183107.22222222222
Saudi Arabia,SAU,53.897866316666665,102.49418830871589,103.88262939453132,5.13580989837646,5.522222148047555,29100704.888888888
Senegal,SEN,13.486114685555556,81.68563270568848,38.76397418975827,6.348217282976421,10.06666649712458,13747840.555555556
Serbia,SRB,50.31103460111112,99.95568847656263,93.32497501373291,4.524938186009725,18.866666899787067,7204793.777777778
Seychelles,SYC,48.0136290575,107.24931049346938,77.15638542175292,3.60644006729126,,89908.0
Sierra Leone,SLE,3.629433885222222,127.81486129760725,45.041302680969224,2.612917150769917,2.9222222169240313,6771844.777777778
Singapore,SGP,74.66047219000001,,,3.0053766965866084,2.9111111164093,5267888.555555556
Sint Maarten (Dutch part),SXM,,,,,,39117.5
Slovak Republic,SVK,75.43146525444445,102.0039958953857,92.42103862762453,3.9786143302917485,12.45555549197726,5405286.333333333
Slovenia,SVN,68.95030817777779,98.58020564488,101.58213261195588,5.491463343302409,7.922222243414982,2052208.7777777778
Solomon Islands,SLB,6.999863027777778,114.5007095336915,48.31745402018226,9.25810972849529,31.11111111111111,551712.1111111111
Somalia,SOM,1.4624997392499999,,,,6.14444430669149,12796732.111111112
South Africa,ZAF,35.42434619111111,97.57404218401227,91.9590441385905,5.745131492614744,24.58888922797311,52600912.35936508
South Sudan,SSD,,74.1925048828125,9.26644515991211,1.4097259998321543,,10182449.333333334
Spain,ESP,70.19732580777777,105.446333885193,126.39175224304188,4.579021385737826,20.833333227369522,46489142.666666664
Sri Lanka,LKA,18.84501558777778,99.453971862793,98.85597229003902,1.8291157313755586,4.6777777671813965,20458333.333333332
St. Kitts and Nevis,KNA,64.46863054555556,89.16514015197754,94.33844852447514,2.78424000740051,,52586.333333333336
St. Lucia,LCA,42.96222317,,91.26375675201416,4.493829935789107,19.866666899787056,174310.11111111112
St. Martin (French part),MAF,,,,,,30378.166666666668
St. Vincent and the Grenadines,VCT,40.07162438,104.82832527160656,105.48748874664312,5.3875050544738805,18.57777765062119,109353.0
Sudan,SDN,22.444989792857143,69.80840428670248,39.757413864135735,2.2127350568771353,13.188888867696132,36107116.222222224
Suriname,SUR,35.14833642,118.89999103546162,77.99362659454344,,8.011111206478546,536953.3333333334
Swaziland,SWZ,18.98148371111111,113.6585604349775,60.4001668294271,6.663059997558593,27.122222476535388,1249388.111111111
Sweden,SWE,91.81895581444445,108.38834095001222,112.03223133087155,7.058102880205427,7.722222275204128,9540406.888888888
Switzerland,CHE,85.04640576444444,102.95989418029775,97.35140228271483,5.016555649893625,4.244444423251682,8006462.555555556
Syrian Arab Republic,SYR,23.88216939,116.57491556803394,70.08414967854817,4.862694978713989,12.755555470784511,19959059.444444444
Tajikistan,TJK,14.542222222222222,99.10667249891496,85.27046203613283,4.125030080477397,11.066666603088388,8006593.777777778
Tanzania,TZA,5.416666666666667,93.28399181365957,32.5482298533122,4.0979774594306955,2.66666669315762,49223387.44444445
Thailand,THA,29.05344644222222,98.72507190704351,95.02576828002935,4.06318497657776,0.944444451067183,67787943.8888889
Timor-Leste,TLS,10.471805510000001,129.7598390579225,67.90392541885376,8.474134308951246,3.7111110952165394,1163870.3333333333
Togo,TGO,4.903333333333333,124.458689689636,54.7085914611816,4.490420073270799,6.255555576748318,6869891.444444444
Tonga,TON,26.268938270444444,108.8281239100867,98.38776615687777,,5.03333330154419,104985.55555555556
Trinidad and Tobago,TTO,57.079067981111116,106.34119923909533,,,4.5000000264909525,1341029.0
Tunisia,TUN,40.922345667777776,109.21783161163337,90.25077383858816,6.3264600038528425,15.077777650621199,10894734.555555556
Turkey,TUR,45.35204706444445,102.46705818176265,91.38771915435775,4.4138200283050555,9.944444444444438,74743034.66666667
Turkmenistan,TKM,8.18698880888889,89.3672027587891,85.341423034668,3.05590009689331,8.988888952467178,5281463.111111111
